customer_id,last_txn_date,txn_last_90d,txn_last_30d,total_txns,total_gmv,lifetime_value,days_inactive,churn_risk
30,2025-01-21,0,0,1,251.54,3.517946,344,High Risk
31,2025-11-23,3,0,4,1342.5300000000002,-20.885326,38,Medium Risk
32,2025-03-31,0,0,1,186.68,-4.255208,275,High Risk
33,2025-07-12,0,0,2,175.31,-0.18428300000000042,172,High Risk
34,2025-05-23,0,0,3,588.63,-0.9320339999999998,222,High Risk
35,2025-09-23,0,0,7,2152.21,13.447122999999998,99,High Risk
36,2025-10-03,1,0,3,565.7,8.757576,89,High Risk
37,2025-02-24,0,0,1,70.53,-4.173704000000001,310,High Risk
38,2025-02-25,0,0,2,337.04999999999995,3.5693140000000003,309,High Risk
39,2025-05-06,0,0,1,138.35,0.99884,239,High Risk
40,2025-09-30,0,0,4,1760.96,27.777115,92,High Risk
41,2025-10-08,1,0,4,531.43,5.392265,84,High Risk
42,2025-07-18,0,0,4,940.07,-8.620525999999998,166,High Risk
43,2025-10-15,2,0,5,2736.13,13.648208000000004,77,Medium Risk
44,2025-12-31,2,1,7,1289.43,12.136007,0,Active
45,2025-11-11,1,0,3,512.73,9.921603999999999,50,Medium Risk
46,2025-07-30,0,0,2,183.19,3.453302,154,High Risk
47,2025-05-12,0,0,3,1480.3899999999999,16.066677,233,High Risk
48,2025-06-01,0,0,3,604.01,5.815091000000001,213,High Risk
49,2025-10-25,1,0,3,489.32,-15.889503,67,High Risk
50,2025-11-24,2,0,4,719.81,6.775217,37,Medium Risk
51,2025-11-11,2,0,7,933.01,-0.6523339999999984,50,Medium Risk
52,2025-12-29,3,2,6,1345.62,-3.5486889999999973,2,Active
53,2025-12-01,2,1,9,2297.96,4.553360000000004,30,Active
54,2025-04-18,0,0,2,769.76,15.350931,257,High Risk
55,2025-11-21,2,0,4,1058.7,-19.857609999999998,40,Medium Risk
56,2025-08-13,0,0,5,831.97,5.060597000000001,140,High Risk
57,2025-12-21,1,1,4,1648.0700000000002,25.978347999999997,10,Active
58,2025-07-25,0,0,5,1426.72,16.598996,159,High Risk
59,2025-07-31,0,0,1,229.47,1.4622829999999998,153,High Risk
60,2025-10-24,1,0,4,1039.45,-5.357557,68,High Risk
61,2025-01-27,0,0,1,398.54,2.8174440000000005,338,High Risk
62,2025-11-09,1,0,3,610.0,6.834114,52,Medium Risk
63,2025-05-31,0,0,2,480.99,5.7643,214,High Risk
64,2025-04-17,0,0,2,1842.8899999999999,27.45266,258,High Risk
65,2025-11-25,1,0,5,1513.02,20.450243,36,Medium Risk
66,2025-12-04,1,1,3,684.6800000000001,-14.631992,27,Active
67,2025-12-25,2,2,6,2696.88,36.400788,6,Active
68,2025-11-15,2,0,3,478.87,8.138674000000002,46,Medium Risk
69,2025-11-09,1,0,4,983.8100000000001,13.081541999999999,52,Medium Risk
70,2025-06-21,0,0,2,411.03,4.020188000000001,193,High Risk
71,2025-10-21,1,0,2,346.61,5.959817,71,High Risk
72,2025-10-25,2,0,5,891.86,-1.2616960000000006,67,Medium Risk
73,2025-06-27,0,0,3,868.3,8.219437,187,High Risk
74,2025-10-12,1,0,6,949.1800000000001,13.674785,80,High Risk
75,2025-08-24,0,0,4,730.62,12.319309,129,High Risk
76,2025-12-18,1,1,3,1634.3,-44.03859799999999,13,Active
77,2025-10-13,1,0,1,432.91,2.7126450000000006,79,High Risk
78,2025-12-19,1,1,2,604.9100000000001,10.898824999999999,12,Active
79,2025-12-08,3,1,5,835.2,10.851673,23,Active
80,2025-11-30,1,0,3,586.89,-6.916063,31,Medium Risk
81,2025-08-25,0,0,4,1489.29,5.964622000000002,128,High Risk
82,2025-12-17,1,1,6,1424.8999999999999,15.589583999999999,14,Active
83,2025-12-04,1,1,6,1321.49,18.389403,27,Active
84,2025-11-12,1,0,7,1346.1200000000001,0.6697369999999987,49,Medium Risk
85,2025-11-19,1,0,4,765.5,-2.0397889999999994,42,Medium Risk
86,2025-12-05,1,1,5,729.75,-9.207427000000001,26,Active
87,2025-10-19,1,0,2,321.12,0.40763800000000017,73,High Risk
88,2025-12-18,1,1,6,1097.25,13.982919,13,Active
89,2025-10-29,1,0,3,1153.41,17.825737,63,High Risk
90,2025-07-14,0,0,2,564.17,8.165565999999998,170,High Risk
91,2025-09-04,0,0,3,530.44,5.1283840000000005,118,High Risk
92,2025-06-12,0,0,8,1563.17,13.879990000000001,202,High Risk
93,2025-12-16,1,1,4,2109.9300000000003,22.674,15,Active
94,2025-09-24,0,0,1,345.09,3.1771519999999995,98,High Risk
95,2025-09-02,0,0,2,1313.12,21.432007,120,High Risk
96,2025-10-05,1,0,7,966.36,-2.9765779999999995,87,High Risk
98,2025-10-01,0,0,2,784.56,11.924057999999999,91,High Risk
99,2025-05-04,0,0,3,1367.86,1.570386,241,High Risk
100,2025-11-30,1,0,5,1785.42,27.876393,31,Medium Risk
101,2025-10-01,0,0,3,764.8399999999999,13.243822000000002,91,High Risk
102,2025-11-08,2,0,4,1396.22,-6.101418000000001,53,Medium Risk
103,2025-10-03,1,0,3,685.76,13.960608,89,High Risk
104,2025-09-13,0,0,3,2024.0500000000002,-35.678870999999994,109,High Risk
105,2025-01-23,0,0,2,198.15,4.198375,342,High Risk
106,2025-01-13,0,0,1,479.25,-7.9163250000000005,352,High Risk
107,2025-11-09,1,0,3,1764.18,26.521570000000004,52,Medium Risk
108,2025-12-09,1,1,2,606.12,-9.21812,22,Active
109,2025-01-30,0,0,3,1297.3700000000001,18.139198,335,High Risk
110,2025-09-26,0,0,6,2458.8900000000003,-1.0348970000000044,96,High Risk
111,2025-09-11,0,0,3,491.65999999999997,6.698434,111,High Risk
112,2025-05-26,0,0,2,2062.41,30.375207999999997,219,High Risk
113,2025-09-28,0,0,2,497.56,0.05144000000000126,94,High Risk
114,2025-12-12,2,1,8,4970.87,82.10229199999999,19,Active
115,2025-09-01,0,0,2,139.18,-0.0421710000000004,121,High Risk
116,2025-08-31,0,0,6,2206.4,-11.293595999999996,122,High Risk
117,2025-05-31,0,0,1,1256.23,-34.137221,214,High Risk
118,2025-12-20,2,1,5,1497.3899999999999,18.429873999999998,11,Active
119,2025-11-07,2,0,6,1412.5900000000001,-31.967095999999998,54,Medium Risk
120,2025-09-24,0,0,4,669.52,-28.236124000000004,98,High Risk
121,2025-11-16,1,0,4,1033.71,19.731699,45,Medium Risk
122,2025-09-29,0,0,2,521.39,-15.932539,93,High Risk
123,2025-10-12,1,0,2,793.1300000000001,11.100857,80,High Risk
124,2025-09-17,0,0,1,142.06,1.429484,105,High Risk
125,2025-10-27,2,0,6,1341.32,15.851555000000001,65,Medium Risk
127,2025-05-12,0,0,4,659.4200000000001,-5.781496999999999,233,High Risk
128,2025-09-06,0,0,5,1049.59,-5.735740999999999,116,High Risk
129,2025-09-28,0,0,7,1947.57,8.975755000000003,94,High Risk
130,2025-09-20,0,0,3,603.76,6.886496,102,High Risk
131,2025-07-25,0,0,1,467.16,6.2612760000000005,159,High Risk
132,2025-11-03,1,0,3,838.68,11.833640999999998,58,Medium Risk
133,2025-12-29,2,2,2,440.76,3.7053320000000003,2,Active
134,2025-07-13,0,0,4,550.49,-0.2623850000000001,171,High Risk
135,2025-09-03,0,0,1,49.85,1.091355,119,High Risk
136,2025-03-11,0,0,1,194.82,2.1300700000000004,295,High Risk
137,2025-02-19,0,0,1,256.09,2.0550349999999997,315,High Risk
138,2025-06-28,0,0,5,1718.9099999999999,2.623360000000001,186,High Risk
139,2025-08-14,0,0,4,1126.96,14.256985,139,High Risk
140,2025-08-06,0,0,4,708.99,-1.5281159999999987,147,High Risk
141,2025-12-17,2,1,4,1329.33,20.22173,14,Active
142,2025-11-16,2,0,5,1479.24,6.752923,45,Medium Risk
143,2025-11-04,1,0,4,1675.38,-4.745500999999999,57,Medium Risk
144,2025-11-01,1,0,3,476.33000000000004,5.765232,60,Medium Risk
145,2025-06-27,0,0,3,542.2199999999999,5.607937,187,High Risk
146,2025-11-13,1,0,4,766.03,-17.555153000000004,48,Medium Risk
147,2025-10-31,1,0,4,1193.3,-1.4424949999999996,61,High Risk
148,2025-11-21,1,0,4,1532.47,21.775069000000002,40,Medium Risk
149,2025-10-25,2,0,5,1912.0,17.049555,67,Medium Risk
150,2025-08-06,0,0,1,353.62,-18.481334000000004,147,High Risk
151,2025-05-18,0,0,1,31.25,-1.8325,227,High Risk
152,2025-12-05,1,1,3,479.53999999999996,6.084710999999999,26,Active
153,2025-07-05,0,0,3,494.03,-9.303992000000001,179,High Risk
154,2025-09-12,0,0,3,853.8699999999999,11.452411999999999,110,High Risk
155,2025-10-14,1,0,6,1326.42,10.021642,78,High Risk
156,2025-07-21,0,0,4,783.78,12.162808,163,High Risk
157,2025-10-31,1,0,2,1007.24,19.518793,61,High Risk
158,2025-09-07,0,0,4,1071.5,5.566625000000001,115,High Risk
159,2025-03-14,0,0,5,578.09,7.712127,292,High Risk
160,2025-12-25,1,1,8,1535.28,-6.876624999999999,6,Active
161,2025-09-28,0,0,3,385.53,6.4191970000000005,94,High Risk
162,2025-12-20,1,1,2,960.5400000000001,18.431918,11,Active
163,2025-04-28,0,0,2,988.89,-28.503825999999993,247,High Risk
164,2025-11-02,1,0,2,366.2,3.2857799999999995,59,Medium Risk
165,2025-04-29,0,0,4,630.14,7.1778640000000005,246,High Risk
167,2025-12-31,2,1,6,1900.94,-53.050953,0,Active
168,2025-12-30,1,1,2,485.59000000000003,6.211255,1,Active
169,2025-12-25,2,2,2,449.65,7.889794999999999,6,Active
170,2025-11-03,1,0,4,1535.91,18.555406,58,Medium Risk
171,2025-10-27,2,0,8,2802.45,3.3994060000000004,65,Medium Risk
172,2025-08-05,0,0,4,1091.03,-6.361032999999999,148,High Risk
173,2025-11-07,1,0,4,1215.72,11.110215,54,Medium Risk
174,2025-12-20,1,1,4,1122.77,-15.581906000000002,11,Active
175,2025-12-13,1,1,5,2072.96,21.904207,18,Active
176,2025-12-18,2,2,3,1409.57,11.137841999999997,13,Active
177,2025-04-09,0,0,2,534.31,6.489502,266,High Risk
179,2025-10-09,1,0,2,1048.27,-14.077838,83,High Risk
180,2025-12-11,2,1,4,1117.8899999999999,-4.965083,20,Active
181,2025-12-31,3,3,5,1867.3200000000002,-7.167547999999995,0,Active
182,2025-11-02,1,0,4,658.6999999999999,-13.567064999999996,59,Medium Risk
183,2025-11-08,1,0,4,1187.1100000000001,14.482835999999999,53,Medium Risk
184,2025-09-02,0,0,4,333.26,0.16239200000000054,120,High Risk
185,2025-05-12,0,0,2,342.28,5.200176,233,High Risk
186,2025-12-04,1,1,3,836.93,9.093551999999999,27,Active
187,2025-08-10,0,0,4,699.73,13.360636,143,High Risk
188,2025-11-21,1,0,5,905.28,-1.4837799999999994,40,Medium Risk
189,2025-12-03,1,1,4,1464.33,18.658042000000002,28,Active
190,2025-11-28,2,0,4,779.08,1.5801540000000012,33,Medium Risk
191,2025-02-26,0,0,1,117.1,1.3311099999999998,308,High Risk
192,2025-09-29,0,0,3,609.5,6.391360000000001,93,High Risk
193,2025-10-03,1,0,4,1164.72,-46.006625,89,High Risk
194,2025-08-19,0,0,2,2142.67,15.628879000000001,134,High Risk
195,2025-09-15,0,0,2,782.2,7.928076,107,High Risk
197,2025-06-22,0,0,2,1385.26,19.57354,192,High Risk
198,2025-08-13,0,0,3,846.1500000000001,11.850066000000002,140,High Risk
199,2025-09-15,0,0,2,357.6,6.587158,107,High Risk
200,2025-05-28,0,0,1,644.07,5.406805,217,High Risk
201,2025-11-03,2,0,5,1153.01,-42.60111099999999,58,Medium Risk
202,2025-11-01,1,0,1,106.12,-5.035972,60,Medium Risk
204,2025-09-29,0,0,10,2582.89,31.519063000000003,93,High Risk
205,2025-11-30,1,0,5,1837.5700000000002,28.173047,31,Medium Risk
206,2025-07-15,0,0,2,1184.95,-32.21375199999999,169,High Risk
207,2025-08-16,0,0,8,1938.5800000000002,-9.711292000000007,137,High Risk
208,2025-11-26,1,0,6,1361.3200000000002,-32.477782000000005,35,Medium Risk
209,2025-01-01,0,0,1,236.24,2.190384,364,High Risk
210,2025-03-30,0,0,1,46.93,-2.148463,276,High Risk
211,2025-07-20,0,0,2,420.28000000000003,3.840238000000001,164,High Risk
212,2025-10-28,1,0,4,797.89,-13.020931000000003,64,High Risk
213,2025-11-15,1,0,2,1103.22,7.443739999999999,46,Medium Risk
214,2025-12-30,1,1,4,1203.22,10.529905,1,Active
215,2025-12-20,2,2,4,1070.73,10.598469999999999,11,Active
216,2025-11-21,1,0,6,1661.1399999999999,-19.648198,40,Medium Risk
217,2025-12-24,2,1,6,895.29,-2.4193439999999997,7,Active
218,2025-10-16,2,0,4,560.08,7.026396000000001,76,Medium Risk
219,2025-03-26,0,0,1,257.85,3.1493200000000003,280,High Risk
220,2025-11-09,3,0,5,2301.49,44.418446,52,Medium Risk
221,2025-11-04,1,0,3,1530.08,-23.247989,57,Medium Risk
222,2025-08-04,0,0,3,968.26,5.449492,149,High Risk
223,2025-02-13,0,0,1,80.12,1.1301720000000002,321,High Risk
224,2025-09-14,0,0,3,648.89,6.873499000000001,108,High Risk
225,2025-09-15,0,0,1,182.11,1.6563750000000002,107,High Risk
226,2025-10-13,1,0,2,218.73999999999998,3.4011599999999995,79,High Risk
227,2025-11-09,1,0,2,501.41999999999996,6.923901999999998,52,Medium Risk
228,2025-03-30,0,0,2,295.28,5.2548840000000006,276,High Risk
229,2025-08-25,0,0,5,866.23,7.2104550000000005,128,High Risk
230,2025-09-28,0,0,6,1069.9,11.939319999999999,94,High Risk
231,2025-09-25,0,0,4,854.52,10.965880000000002,97,High Risk
232,2025-05-09,0,0,2,665.77,4.697475999999999,236,High Risk
233,2025-08-10,0,0,2,337.36,-5.218448,143,High Risk
234,2025-09-15,0,0,3,272.26,4.4139029999999995,107,High Risk
235,2025-07-04,0,0,3,1176.19,20.392741,180,High Risk
236,2025-11-18,1,0,3,838.81,3.690469,43,Medium Risk
237,2025-11-26,1,0,3,484.74,6.998885,35,Medium Risk
238,2025-12-15,2,1,8,2905.65,51.165548,16,Active
239,2025-10-14,1,0,2,645.2,9.235419999999998,78,High Risk
240,2025-09-26,0,0,3,492.32,6.329292,96,High Risk
241,2025-12-04,2,1,3,1015.05,13.921750000000001,27,Active
242,2025-09-27,0,0,4,675.74,4.340721000000001,95,High Risk
243,2025-06-07,0,0,2,212.13,1.9321009999999996,207,High Risk
244,2025-10-19,1,0,5,2182.56,9.875691,73,High Risk
245,2025-11-21,1,0,9,3310.15,-11.824061999999994,40,Medium Risk
246,2025-10-05,1,0,4,1769.63,-66.896142,87,High Risk
247,2025-07-19,0,0,3,411.57,4.044186999999999,165,High Risk
248,2025-12-23,1,1,4,680.05,8.996153999999999,8,Active
249,2025-06-13,0,0,2,2702.94,52.56270200000001,201,High Risk
250,2025-07-22,0,0,3,626.67,6.051988,162,High Risk
251,2025-12-06,2,1,4,651.05,3.5870369999999996,25,Active
252,2025-09-27,0,0,2,445.69999999999993,-14.193866,95,High Risk
253,2025-07-01,0,0,3,603.25,-4.397250000000001,183,High Risk
254,2025-06-28,0,0,2,508.32,-4.748038000000001,186,High Risk
255,2025-07-29,0,0,3,1548.7,26.731659999999998,155,High Risk
256,2025-12-27,3,2,6,2882.63,-46.287685999999994,4,Active
257,2025-12-07,3,2,4,634.0899999999999,1.7593419999999989,24,Active
258,2025-12-07,3,1,3,850.1199999999999,-31.822147,24,Active
260,2025-11-26,1,0,3,690.62,-2.361405,35,Medium Risk
261,2025-04-23,0,0,2,119.98,0.155878,252,High Risk
262,2025-08-28,0,0,3,934.7,2.152463,125,High Risk
263,2025-03-20,0,0,1,59.65,-3.05542,286,High Risk
264,2025-10-15,1,0,1,196.53,3.62407,77,High Risk
266,2025-05-18,0,0,3,307.59,4.621442,227,High Risk
267,2025-09-28,0,0,3,1230.02,-33.919582000000005,94,High Risk
268,2025-10-02,1,0,4,1115.02,11.230438000000001,90,High Risk
269,2025-12-20,1,1,3,1190.9,17.675256,11,Active
270,2025-07-23,0,0,4,499.75,8.499035000000001,161,High Risk
271,2025-07-19,0,0,2,729.15,7.010906,165,High Risk
272,2025-08-14,0,0,3,389.90999999999997,6.2455560000000006,139,High Risk
273,2025-11-11,1,0,3,594.1800000000001,4.189704,50,Medium Risk
274,2025-07-07,0,0,1,34.99,0.254413,177,High Risk
275,2025-11-07,1,0,2,603.7,-5.922231,54,Medium Risk
276,2025-11-23,1,0,3,481.87,8.506695,38,Medium Risk
277,2025-08-30,0,0,2,678.84,13.4073,123,High Risk
278,2025-01-20,0,0,1,219.23,4.747289,345,High Risk
279,2025-06-02,0,0,3,649.94,-2.4821239999999998,212,High Risk
280,2025-10-06,1,0,2,122.67,2.6089469999999997,86,High Risk
281,2025-05-06,0,0,1,47.33,0.4784939999999999,239,High Risk
282,2025-08-05,0,0,4,465.66,0.22614400000000007,148,High Risk
283,2025-07-05,0,0,2,828.12,-36.155894999999994,179,High Risk
284,2025-11-29,1,0,2,423.05,-11.545261000000002,32,Medium Risk
285,2025-12-01,2,1,5,505.42,-10.563156000000001,30,Active
286,2025-12-27,2,1,4,918.8199999999999,-6.477756000000004,4,Active
287,2025-12-30,1,1,2,577.48,11.194992000000001,1,Active
288,2025-12-21,1,1,3,765.75,1.0864110000000007,10,Active
289,2025-12-16,1,1,3,734.55,13.256773,15,Active
290,2025-10-25,1,0,1,164.01,3.6742349999999995,67,High Risk
291,2025-03-24,0,0,3,380.04,-2.2786750000000007,282,High Risk
292,2025-10-14,1,0,7,2275.89,29.717073999999997,78,High Risk
293,2025-10-13,2,0,3,1820.27,27.075066000000003,79,Medium Risk
294,2025-12-15,1,1,2,2014.36,-38.773727,16,Active
295,2025-10-21,1,0,3,558.66,0.2903659999999997,71,High Risk
296,2025-05-03,0,0,1,126.21,2.8995239999999995,242,High Risk
297,2025-12-11,1,1,2,1714.4499999999998,-15.360549999999998,20,Active
298,2025-11-22,1,0,5,1358.51,-2.0207650000000026,39,Medium Risk
299,2025-08-11,0,0,2,334.89,2.0555120000000002,142,High Risk
300,2025-07-19,0,0,3,1015.15,1.2063809999999995,165,High Risk
301,2025-12-19,1,1,1,907.35,7.87261,12,Active
302,2025-11-06,1,0,4,529.96,4.730888,55,Medium Risk
303,2025-12-24,1,1,2,1354.8600000000001,-58.24604599999999,7,Active
304,2025-12-14,1,1,4,3144.1,-2.4836329999999966,17,Active
305,2025-06-02,0,0,2,409.21,-0.7946749999999989,212,High Risk
306,2025-11-23,1,0,4,1323.58,25.580083000000002,38,Medium Risk
307,2025-08-31,0,0,2,320.72,4.8047569999999995,122,High Risk
308,2025-12-17,2,1,3,530.4,8.480268,14,Active
309,2025-06-29,0,0,4,836.04,11.635373999999999,185,High Risk
310,2025-07-25,0,0,6,996.1399999999999,10.579841999999998,159,High Risk
311,2025-09-20,0,0,5,1765.4299999999998,-18.009197000000004,102,High Risk
312,2025-11-06,2,0,6,1792.81,21.785314999999997,55,Medium Risk
313,2025-10-29,2,0,8,2411.4,-0.30156200000000055,63,Medium Risk
314,2025-11-17,1,0,3,2648.63,33.869616,44,Medium Risk
315,2025-06-21,0,0,2,391.69,8.162221999999998,193,High Risk
316,2025-11-30,3,0,4,749.46,-2.1751750000000007,31,Medium Risk
317,2025-11-11,1,0,4,1250.39,5.843216000000001,50,Medium Risk
318,2025-11-07,1,0,2,911.3399999999999,13.56257,54,Medium Risk
319,2025-10-09,1,0,5,783.72,0.6056880000000016,83,High Risk
320,2025-10-23,1,0,2,703.6999999999999,3.4267849999999997,69,High Risk
321,2025-12-28,2,1,7,3240.83,28.439530999999995,3,Active
322,2025-09-18,0,0,2,1053.0,16.748486,104,High Risk
323,2025-08-30,0,0,3,777.63,4.59471,123,High Risk
324,2025-12-18,2,2,8,1041.31,9.751818,13,Active
325,2025-12-12,1,1,6,1757.38,31.295579000000004,19,Active
326,2025-05-10,0,0,5,1165.29,16.058841,235,High Risk
327,2025-11-12,1,0,2,130.2,-0.5552760000000001,49,Medium Risk
328,2025-06-14,0,0,4,1480.35,-9.298337999999998,200,High Risk
329,2025-04-19,0,0,1,221.36,1.726416,256,High Risk
330,2025-10-21,1,0,3,1089.37,-6.596314000000002,71,High Risk
331,2025-12-01,2,1,5,842.25,5.397994999999998,30,Active
332,2025-04-02,0,0,1,16.67,0.206714,273,High Risk
333,2025-11-25,3,0,6,2045.8000000000002,-6.039566999999998,36,Medium Risk
334,2025-03-29,0,0,1,139.42,2.4302259999999998,277,High Risk
335,2025-09-08,0,0,3,447.61,-3.4226419999999993,114,High Risk
336,2025-11-11,1,0,3,292.99,-4.496186,50,Medium Risk
337,2025-12-24,1,1,3,790.04,13.731807999999997,7,Active
338,2025-11-21,1,0,6,1496.89,19.224501,40,Medium Risk
339,2025-09-05,0,0,4,597.4100000000001,-8.565505,117,High Risk
340,2025-11-21,1,0,4,1138.01,3.3686220000000002,40,Medium Risk
341,2025-12-23,3,2,4,2477.8300000000004,31.113982999999994,8,Active
342,2025-11-11,1,0,4,1348.75,20.915017999999996,50,Medium Risk
343,2025-10-09,1,0,3,309.94,0.9189199999999997,83,High Risk
344,2025-10-23,1,0,4,898.69,-1.9050619999999983,69,High Risk
345,2025-12-27,1,1,4,1187.48,-30.890072999999997,4,Active
346,2025-11-23,1,0,2,248.71,4.586434000000001,38,Medium Risk
347,2025-08-09,0,0,2,1100.02,16.722769000000003,144,High Risk
348,2025-12-17,1,1,4,876.1600000000001,14.110430000000001,14,Active
349,2025-09-08,0,0,4,857.5,12.786586,114,High Risk
350,2025-12-09,1,1,3,1003.39,17.812272999999998,22,Active
351,2025-09-10,0,0,3,425.71,-11.205931000000001,112,High Risk
352,2025-09-21,0,0,3,1080.3,12.281795,101,High Risk
353,2025-10-07,1,0,4,1087.32,7.647870000000001,85,High Risk
354,2025-12-22,2,1,6,1632.67,26.276152,9,Active
355,2025-12-14,3,1,7,1138.76,12.276365,17,Active
356,2025-12-27,2,1,4,447.52,-7.794868999999999,4,Active
357,2025-11-18,2,0,6,843.5,4.004832,43,Medium Risk
358,2025-12-21,2,2,4,627.21,7.886926999999998,10,Active
359,2025-11-07,1,0,5,1239.66,5.2627820000000005,54,Medium Risk
360,2025-02-11,0,0,2,1228.46,-23.902727,323,High Risk
361,2025-07-15,0,0,1,86.08,-5.646416,169,High Risk
362,2025-10-22,1,0,4,1394.8700000000001,15.647331000000001,70,High Risk
363,2025-08-12,0,0,3,3140.79,-107.172777,141,High Risk
364,2025-08-11,0,0,2,253.91000000000003,5.172321,142,High Risk
366,2025-12-04,1,1,3,304.32000000000005,3.205042000000001,27,Active
367,2025-06-06,0,0,2,476.24,6.375838,208,High Risk
368,2025-06-04,0,0,1,391.84,3.2765600000000004,210,High Risk
369,2025-11-24,2,0,2,225.47000000000003,3.349543,37,Medium Risk
370,2025-11-21,1,0,4,1095.99,-11.176977,40,Medium Risk
371,2025-12-13,3,1,6,2533.59,37.539452,18,Active
372,2025-08-31,0,0,5,1308.59,2.5724109999999962,122,High Risk
373,2025-11-05,2,0,4,1385.29,-3.3812289999999954,56,Medium Risk
374,2025-06-07,0,0,2,86.83,0.891085,207,High Risk
375,2025-09-10,0,0,5,1396.3400000000001,17.360556000000003,112,High Risk
376,2025-12-12,1,1,3,769.24,-8.794458,19,Active
377,2025-07-30,0,0,2,190.53,2.394282,154,High Risk
378,2025-07-16,0,0,4,918.06,13.664646999999999,168,High Risk
379,2025-05-31,0,0,3,817.51,3.1956729999999993,214,High Risk
380,2025-12-29,1,1,4,3122.1,46.29017,2,Active
381,2025-10-09,1,0,3,1908.98,12.147335000000005,83,High Risk
382,2025-10-16,1,0,3,587.73,5.830442,76,High Risk
383,2025-10-26,1,0,6,1155.42,4.959791000000001,66,High Risk
384,2025-06-04,0,0,1,263.45,4.940315,210,High Risk
385,2025-09-12,0,0,2,586.31,9.332956000000001,110,High Risk
386,2025-11-23,2,0,3,816.2900000000001,7.496318000000002,38,Medium Risk
387,2025-12-02,1,1,1,156.3,1.1017400000000002,29,Active
388,2025-07-01,0,0,3,360.45,0.9504789999999996,183,High Risk
389,2025-11-03,1,0,3,1152.99,3.5430319999999993,58,Medium Risk
390,2025-11-09,1,0,5,1857.16,-48.249872,52,Medium Risk
391,2025-03-11,0,0,1,351.18,5.489824,295,High Risk
392,2025-04-07,0,0,2,301.35,1.5504899999999997,268,High Risk
393,2025-10-26,1,0,4,2006.3000000000002,15.605291999999999,66,High Risk
394,2025-12-18,3,1,7,1889.98,-12.119122000000003,13,Active
395,2025-06-13,0,0,2,270.82,4.494247,201,High Risk
396,2025-12-08,1,1,3,704.03,9.151186000000001,23,Active
397,2025-07-12,0,0,4,510.45,9.700011,172,High Risk
398,2025-10-20,1,0,4,819.47,-3.843927000000001,72,High Risk
399,2025-11-18,1,0,3,183.63,-0.3048599999999997,43,Medium Risk
400,2025-09-03,0,0,5,2017.56,21.752114,119,High Risk
401,2025-11-22,1,0,5,1500.48,-21.960697999999994,39,Medium Risk
402,2025-10-02,1,0,9,3217.7,7.411441,90,High Risk
403,2025-12-18,1,1,4,987.3,-3.0372330000000005,13,Active
404,2025-11-23,2,0,3,421.77,-13.415305,38,Medium Risk
405,2025-12-28,2,1,5,647.31,-1.902680000000002,3,Active
406,2025-05-05,0,0,1,404.3,5.81407,240,High Risk
407,2025-11-16,1,0,4,1771.9,13.054485999999997,45,Medium Risk
408,2025-05-01,0,0,5,1162.43,11.815833,244,High Risk
409,2025-10-18,1,0,3,1194.25,-1.606810000000003,74,High Risk
410,2025-06-24,0,0,2,208.79,0.4486189999999999,190,High Risk
411,2025-06-27,0,0,1,229.31,-11.244836,187,High Risk
412,2025-08-05,0,0,2,1360.57,-4.307965999999997,148,High Risk
413,2025-12-26,3,2,3,548.2,11.635028,5,Active
414,2025-08-26,0,0,2,237.21,2.2553160000000005,127,High Risk
